,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
45,45,delinq_2yrs:1-3,-0.04416869242570862,6.381114446977204e-13,delinq_2yrs,-3.107770815015707,-3.0,0.10777081501570684,-3.0
46,46,delinq_2yrs:>=4,-0.08749091080897486,4.571671598540915e-06,delinq_2yrs,-6.155982535562056,-6.0,0.15598253556205588,-6.0
47,47,inq_last_6mths:1-2,-0.16291408494013437,1.6749767730455569e-234,inq_last_6mths,-11.462862283811804,-11.0,0.4628622838118037,-11.0
48,48,inq_last_6mths:3-6,-0.3202698786020725,6.5126701879432305e-220,inq_last_6mths,-22.534635439395753,-23.0,-0.4653645606042467,-23.0
49,49,inq_last_6mths:>6,-0.6491497660151003,1.740053665513269e-08,inq_last_6mths,-45.675083109812874,-46.0,-0.3249168901871258,-46.0
50,50,open_acc:4-12,-0.12484622681811558,6.39010371541149e-13,open_acc,-8.784354681152779,-9.0,-0.21564531884722093,-9.0
51,51,open_acc:13-17,-0.2495353512300786,3.647814637985667e-42,open_acc,-17.557655417848615,-18.0,-0.44234458215138517,-18.0
52,52,open_acc:18-22,-0.2845833974725601,3.8437999186491467e-47,open_acc,-20.023684843983645,-20.0,0.02368484398364501,-20.0
53,53,open_acc:23-25,-0.31924336629729594,3.020057010063628e-40,open_acc,-22.46240860163267,-22.0,0.4624086016326707,-22.0
54,54,open_acc:26-30,-0.3502228169704307,2.949242936056462e-40,open_acc,-24.642165967760818,-25.0,-0.3578340322391824,-25.0
55,55,open_acc:>=31,-0.37668394616279055,5.481565197378095e-31,open_acc,-26.504007931380073,-27.0,-0.49599206861992684,-27.0
56,56,pub_rec:1-2,0.12869893668595717,0.017656432820802995,pub_rec,9.055436722038191,9.0,-0.05543672203819128,9.0
57,57,pub_rec:>=3,0.12487543091075362,0.03054514591786838,pub_rec,8.786409521850908,9.0,0.21359047814909182,9.0
58,58,total_acc:28-51,-0.029941744487883885,1.2284258401420045e-06,total_acc,-2.106742911319274,-2.0,0.10674291131927394,-2.0
59,59,total_acc:>=52,-0.026273042439797705,0.1009197129297567,total_acc,-1.8486079173253316,-2.0,-0.15139208267466842,-2.0
60,60,acc_now_delinq:>=1,0.03253630863354468,0.3276079598687144,acc_now_delinq,2.28930006406119,2.0,-0.28930006406119,2.0
61,61,total_rev_hi_lim:10K-20K,-0.015661740021685914,0.032256877838123324,total_rev_hi_lim,-1.1019818762719025,-1.0,0.10198187627190247,-1.0
62,62,total_rev_hi_lim:20K-30K,-0.005129589809602127,0.5278260640638132,total_rev_hi_lim,-0.3609250948530362,-0.0,0.3609250948530362,-0.0
63,63,total_rev_hi_lim:30K-40K,0.024198043715808533,0.010247195089039325,total_rev_hi_lim,1.7026081124532517,2.0,0.2973918875467483,2.0
64,64,total_rev_hi_lim:40K-55K,0.073850433018635,8.780761679680445e-13,total_rev_hi_lim,5.196219489576706,5.0,-0.19621948957670643,5.0
65,65,total_rev_hi_lim:55K-95K,0.13622279642430155,4.542209426056834e-32,total_rev_hi_lim,9.584825989117524,10.0,0.41517401088247574,10.0
66,66,total_rev_hi_lim:>95K,0.20620392156976616,2.0711358662909693e-32,total_rev_hi_lim,14.508795578999436,15.0,0.49120442100056394,15.0
67,67,annual_inc:20K-30K,-0.08574039921715336,1.609347137499649e-06,annual_inc,-6.032814097973374,-6.0,0.03281409797337442,-6.0
68,68,annual_inc:30K-40K,-0.0492965409939342,0.0038497886150866876,annual_inc,-3.468573393696433,-3.0,0.4685733936964329,-3.0
69,69,annual_inc:40K-50K,-0.012463790198696041,0.463057698073836,annual_inc,-0.8769696655416653,-1.0,-0.12303033445833467,-1.0
70,70,annual_inc:50K-60K,0.0011702070613392986,0.9455869099028105,annual_inc,0.08233740129102816,0.0,-0.08233740129102816,0.0
71,71,annual_inc:60K-70K,0.03844173066078909,0.02820487631265732,annual_inc,2.704813796044317,3.0,0.2951862039556832,3.0
72,72,annual_inc:70K-80K,0.07108436140696413,6.532543563589566e-05,annual_inc,5.001594832271011,5.0,-0.001594832271011093,5.0
73,73,annual_inc:80K-90K,0.10400533473435872,1.8115273309797508e-08,annual_inc,7.3179604408041,7.0,-0.31796044080410013,7.0
74,74,annual_inc:90K-100K,0.1362606303755342,8.159283601022479e-13,annual_inc,9.587488038705146,10.0,0.4125119612948538,10.0
75,75,annual_inc:100K-120K,0.1956708188120931,1.9768460469299466e-25,annual_inc,13.767671775144095,14.0,0.23232822485590532,14.0
